node_id,zero_rate,observations,avg_speed,traffic_regime,cusum_flags,ewma_flags,persistence_error,cusum_flag_rate,ewma_flag_rate,topology,road_type,density
0,0.07833486276799867,23974,57.06180778184303,free_flow,914,3160,2.6211200030191435,0.03812463502127304,0.13180946024860266,4.8790474,interstate,4
1,0.054225410861766916,23974,60.93519863118908,free_flow,653,1447,2.1506210100624883,0.027237840994410612,0.06035705347459748,3.8074965,arterial,4
2,0.054225410861766916,23974,61.18143683434832,free_flow,940,2518,2.157316226176241,0.03920914323850838,0.1050304496537916,4.7728834,interstate,4
3,0.054767664970384586,23974,50.06083765017923,free_flow,1098,2550,3.006879277947936,0.045799616250938514,0.10636522899808125,6.349163,interstate,5
4,0.0566446984232919,23974,47.00567600681162,free_flow,1506,5894,3.832567209053194,0.06281805289063151,0.24584967047634937,6.529217,interstate,5
5,0.05472595311587553,23974,52.00483175556588,free_flow,1168,2532,3.458323517805665,0.04871944606657212,0.10561441561691833,5.9786325,interstate,6
6,0.054767664970384586,23974,55.271707875330556,free_flow,1139,3767,2.7989208547354876,0.04750980228580963,0.1571285559355969,2.5448682,arterial,0
7,0.10031701009426879,23974,56.86534875413974,free_flow,777,2405,2.3466695898069467,0.032410110953532995,0.10031701009426879,5.883158,interstate,6
8,0.06878284808542588,23974,56.53892103350058,free_flow,957,2331,3.235459098547236,0.03991824476516226,0.09723033286059898,3.9084022,interstate,2
9,0.06002335863852507,23974,53.47822517052203,free_flow,1367,4637,2.676394533231106,0.057020105113873364,0.1934178693584717,1.9547358,arterial,4
10,0.060690748310669895,23974,56.7619118462991,free_flow,731,1550,2.6154677984483192,0.030491365646116625,0.06465337448902979,2.9890704,arterial,3
11,0.12476015683657296,23974,55.21582892048396,free_flow,947,2929,2.6091805639972403,0.03950112622007174,0.12217402185701176,3.6266563,arterial,4
12,0.05556019020605656,23974,38.67476004097031,congested,2003,9638,3.102575558045025,0.0835488445816301,0.4020188537582381,6.5773964,interstate,4
13,0.06398598481688496,23974,60.171234975456215,free_flow,839,1971,2.673791349358631,0.03499624593309419,0.08221406523734046,4.2766533,interstate,7
14,0.05572703762409277,23974,52.63035494139815,free_flow,999,3254,3.834189287071576,0.04167014265454242,0.1357303745724535,4.20866,interstate,2
15,0.056477851005255694,23974,47.09360949560437,free_flow,1498,6172,3.6183070018975583,0.062484358054559104,0.2574455660298657,4.169542,interstate,4
16,0.054767664970384586,23974,29.179687700696917,congested,1201,2503,1.808753894761653,0.050095937265370816,0.10440477183615583,6.6126976,interstate,5
17,0.05464252940685743,23974,53.75803835438126,free_flow,990,2697,3.024527464276776,0.04129473596396096,0.11249687161091182,6.0073805,interstate,5
18,0.05464252940685743,23974,52.8577196393977,free_flow,746,1391,3.445422521223389,0.031117043463752398,0.058021189622090595,2.2409236,arterial,3
19,0.055101359806456994,23974,55.383342867471505,free_flow,972,3006,2.727946363189752,0.04054392258279803,0.12538583465420872,5.6343646,interstate,4
20,0.05597730875114708,23974,61.06893219969783,free_flow,823,2126,2.4447619345560865,0.034328856260949364,0.08867940268624343,5.5093412,interstate,4
21,0.054767664970384586,23974,56.97127220163114,free_flow,692,1408,3.3384194318977833,0.02886460332026362,0.05873029114874447,2.5499327,arterial,3
22,0.1625510970217736,23974,40.28025388946491,free_flow,1152,3842,3.1614493578360685,0.0480520563944273,0.16025694502377577,3.6182978,arterial,6
23,0.07608242262450989,23974,50.42753644490526,free_flow,1197,3761,3.1038561616354228,0.049929089847334615,0.1568782848085426,2.7666893,arterial,2
24,0.05714524067740052,23974,60.36749827193745,free_flow,740,1786,2.484916314764275,0.03086677233669809,0.07449737215316593,4.874194,interstate,4
25,0.07975306582130641,23974,53.21599927699452,free_flow,1128,3730,4.117341091076179,0.04705097188621006,0.155585217318762,3.3562179,arterial,3
26,0.1178359889880704,23974,46.936211418189814,free_flow,1374,3340,3.627773341755155,0.057312088095436725,0.13931759406023192,1.0,arterial,0
27,0.05868857929423542,23974,57.917797074476184,free_flow,692,1498,2.296659641860693,0.02886460332026362,0.062484358054559104,3.9139662,interstate,4
28,0.05860515558521732,23974,62.20353628798924,free_flow,917,2261,2.1782767972181505,0.0382497705848002,0.09431050304496538,4.878662,interstate,4
29,0.05743722365896388,23974,41.10635344374395,free_flow,1025,3236,2.208654464956083,0.04275465087177776,0.13497956119129056,3.324359,arterial,4
30,0.07620755818803704,23974,54.378038592734725,free_flow,896,1967,4.796994693987269,0.03737382164011012,0.08204721781930424,2.090176,arterial,4
31,0.07637440560607324,23974,60.85225973971803,free_flow,894,1898,2.0683990328146495,0.03729039793109202,0.0791690998581797,1.8946576,arterial,2
32,0.08392425127221156,23974,58.70758182475459,free_flow,1063,2466,2.648028121735054,0.044339701343121714,0.10286143321932092,5.387335,interstate,2
33,0.05743722365896388,23974,55.81247204312608,free_flow,987,2130,2.697715630425024,0.041169600400433805,0.08884625010427964,5.565667,interstate,4
34,0.05451739384333027,23974,59.52203504855128,free_flow,971,2896,2.719743429058729,0.04050221072828898,0.12079753065821307,2.257032,arterial,4
35,0.05464252940685743,23974,57.66812305592964,free_flow,679,1386,3.334538971451877,0.02832234921164595,0.05781263034954534,1.5289235,arterial,3
36,0.19095686994243763,23974,52.91086517669274,free_flow,1217,4603,2.3199543056565246,0.05076332693751564,0.19199966630516394,4.18594,interstate,3
